time_s,input_V,output_V
0.000000000000e+00,-1.000000000000e+00,1.732643956921e-02
1.000000000000e-11,-1.000000000000e+00,-3.491234331988e-02
2.000000000000e-11,-1.000000000000e+00,-8.674553684414e-02
3.000000000000e-11,-1.000000000000e+00,-1.371309463917e-01
4.000000000000e-11,-1.000000000000e+00,-1.847545300200e-01
5.000000000000e-11,-1.000000000000e+00,-2.285344426861e-01
6.000000000000e-11,-1.000000000000e+00,-2.680045106259e-01
7.000000000000e-11,-1.000000000000e+00,-3.033013282733e-01
8.000000000000e-11,-1.000000000000e+00,-3.349463526805e-01
9.000000000000e-11,-1.000000000000e+00,-3.635908562745e-01
1.000000000000e-10,-1.000000000000e+00,-3.898225227027e-01
1.100000000000e-10,-1.000000000000e+00,-4.140650379122e-01
1.200000000000e-10,-1.000000000000e+00,-4.365583313809e-01
1.300000000000e-10,-1.000000000000e+00,-4.573895159062e-01
1.400000000000e-10,-1.000000000000e+00,-4.765452079920e-01
1.500000000000e-10,-1.000000000000e+00,-4.939648618722e-01
1.600000000000e-10,-1.000000000000e+00,-5.095846050435e-01
1.700000000000e-10,-1.000000000000e+00,-5.233681817974e-01
1.800000000000e-10,-1.000000000000e+00,-5.353253681397e-01
1.900000000000e-10,-1.000000000000e+00,-5.455195634738e-01
2.000000000000e-10,-1.000000000000e+00,-5.540664681147e-01
2.100000000000e-10,-1.000000000000e+00,-5.611257338418e-01
2.200000000000e-10,-1.000000000000e+00,-5.668875990791e-01
2.300000000000e-10,-1.000000000000e+00,-5.715567573112e-01
2.400000000000e-10,-1.000000000000e+00,-5.753358530982e-01
2.500000000000e-10,-1.000000000000e+00,-5.784108736765e-01
2.600000000000e-10,-1.000000000000e+00,-5.809402446110e-01
2.700000000000e-10,-1.000000000000e+00,-5.830487116425e-01
2.800000000000e-10,-1.000000000000e+00,-5.848262457453e-01
2.900000000000e-10,-1.000000000000e+00,-5.863314130898e-01
3.000000000000e-10,-1.000000000000e+00,-5.875980451560e-01
3.100000000000e-10,-1.000000000000e+00,-5.886437080014e-01
3.200000000000e-10,-1.000000000000e+00,-5.894784211121e-01
3.300000000000e-10,-1.000000000000e+00,-5.901122786175e-01
3.400000000000e-10,-1.000000000000e+00,-5.905610060131e-01
3.500000000000e-10,-1.000000000000e+00,-5.908489548659e-01
3.600000000000e-10,-1.000000000000e+00,-5.910095088756e-01
3.700000000000e-10,-1.000000000000e+00,-5.910832747515e-01
3.800000000000e-10,-1.000000000000e+00,-5.911147114588e-01
3.900000000000e-10,-1.000000000000e+00,-5.911479886147e-01
4.000000000000e-10,-1.000000000000e+00,-5.912228614139e-01
4.100000000000e-10,-1.000000000000e+00,-5.913712282168e-01
4.200000000000e-10,-1.000000000000e+00,-5.916148344775e-01
4.300000000000e-10,-1.000000000000e+00,-5.919643459168e-01
4.400000000000e-10,-1.000000000000e+00,-5.924197765952e-01
4.500000000000e-10,-1.000000000000e+00,-5.929720586208e-01
4.600000000000e-10,-1.000000000000e+00,-5.936054032857e-01
4.700000000000e-10,-1.000000000000e+00,-5.943000392392e-01
4.800000000000e-10,-1.000000000000e+00,-5.950349201082e-01
4.900000000000e-10,-1.000000000000e+00,-5.957900596959e-01
5.000000000000e-10,-1.000000000000e+00,-5.965482585493e-01
5.100000000000e-10,-1.000000000000e+00,-5.972961093063e-01
5.200000000000e-10,-1.000000000000e+00,-5.980242885983e-01
5.300000000000e-10,-1.000000000000e+00,-5.987272430023e-01
5.400000000000e-10,-1.000000000000e+00,-5.994024440404e-01
5.500000000000e-10,-1.000000000000e+00,-6.000494176012e-01
5.600000000000e-10,-1.000000000000e+00,-6.006687478392e-01
5.700000000000e-10,-1.000000000000e+00,-6.012612211591e-01
5.800000000000e-10,-1.000000000000e+00,-6.018272222189e-01
5.900000000000e-10,-1.000000000000e+00,-6.023664322252e-01
6.000000000000e-10,-1.000000000000e+00,-6.028778208070e-01
6.100000000000e-10,-1.000000000000e+00,-6.033598750245e-01
6.200000000000e-10,-1.000000000000e+00,-6.038109781091e-01
6.300000000000e-10,-1.000000000000e+00,-6.042298384726e-01
6.400000000000e-10,-1.000000000000e+00,-6.046158752679e-01
6.500000000000e-10,-1.000000000000e+00,-6.049694867251e-01
6.600000000000e-10,-1.000000000000e+00,-6.052921563964e-01
6.700000000000e-10,-1.000000000000e+00,-6.055863845452e-01
6.800000000000e-10,-1.000000000000e+00,-6.058554618059e-01
6.900000000000e-10,-1.000000000000e+00,-6.061031256780e-01
7.000000000000e-10,-1.000000000000e+00,-6.063331547567e-01
7.100000000000e-10,-1.000000000000e+00,-6.065489599565e-01
7.200000000000e-10,-1.000000000000e+00,-6.067532270906e-01
7.300000000000e-10,-1.000000000000e+00,-6.069476530354e-01
7.400000000000e-10,-1.000000000000e+00,-6.071328011086e-01
7.500000000000e-10,-1.000000000000e+00,-6.073080832441e-01
7.600000000000e-10,-1.000000000000e+00,-6.074718598418e-01
7.700000000000e-10,-1.000000000000e+00,-6.076216349597e-01
7.800000000000e-10,-1.000000000000e+00,-6.077543161338e-01
7.900000000000e-10,-1.000000000000e+00,-6.078665049774e-01
8.000000000000e-10,-1.000000000000e+00,-6.079547864161e-01
8.100000000000e-10,-1.000000000000e+00,-6.080159899372e-01
8.200000000000e-10,-1.000000000000e+00,-6.080474041392e-01
8.300000000000e-10,-1.000000000000e+00,-6.080469346509e-01
8.400000000000e-10,-1.000000000000e+00,-6.080132037513e-01
8.500000000000e-10,-1.000000000000e+00,-6.079455966902e-01
8.600000000000e-10,-1.000000000000e+00,-6.078442641449e-01
8.700000000000e-10,-1.000000000000e+00,-6.077100922495e-01
8.800000000000e-10,-1.000000000000e+00,-6.075446514173e-01
8.900000000000e-10,-1.000000000000e+00,-6.073501332539e-01
9.000000000000e-10,-1.000000000000e+00,-6.071292819211e-01
9.100000000000e-10,-1.000000000000e+00,-6.068853230914e-01
9.200000000000e-10,-1.000000000000e+00,-6.066218907681e-01
9.300000000000e-10,-1.000000000000e+00,-6.063429502281e-01
9.400000000000e-10,-1.000000000000e+00,-6.060527144100e-01
9.500000000000e-10,-1.000000000000e+00,-6.057555512761e-01
9.600000000000e-10,-1.000000000000e+00,-6.054558808334e-01
9.700000000000e-10,-1.000000000000e+00,-6.051580623090e-01
9.800000000000e-10,-1.000000000000e+00,-6.048662740566e-01
9.900000000000e-10,-1.000000000000e+00,-6.045843907250e-01
1.000000000000e-09,-1.000000000000e+00,-6.043158637257e-01
1.010000000000e-09,-1.000000000000e+00,-6.040636118547e-01
1.020000000000e-09,-1.000000000000e+00,-6.038299289522e-01
1.030000000000e-09,-1.000000000000e+00,-6.036164147290e-01
1.040000000000e-09,-1.000000000000e+00,-6.034239334779e-01
1.050000000000e-09,-1.000000000000e+00,-6.032526035161e-01
1.060000000000e-09,-1.000000000000e+00,-6.031018181103e-01
1.070000000000e-09,-1.000000000000e+00,-6.029702965521e-01
1.080000000000e-09,-1.000000000000e+00,-6.028561621990e-01
1.090000000000e-09,-1.000000000000e+00,-6.027570428163e-01
1.100000000000e-09,-1.000000000000e+00,-6.026701875526e-01
1.110000000000e-09,-1.000000000000e+00,-6.025925943742e-01
1.120000000000e-09,-1.000000000000e+00,-6.025211417392e-01
1.130000000000e-09,-1.000000000000e+00,-6.024527186376e-01
1.140000000000e-09,-1.000000000000e+00,-6.023843477553e-01
1.150000000000e-09,-1.000000000000e+00,-6.023132973298e-01
1.160000000000e-09,-1.000000000000e+00,-6.022371781552e-01
1.170000000000e-09,-1.000000000000e+00,-6.021540230859e-01
1.180000000000e-09,-1.000000000000e+00,-6.020623472247e-01
1.190000000000e-09,-1.000000000000e+00,-6.019611877375e-01
1.200000000000e-09,-1.000000000000e+00,-6.018501229120e-01
1.210000000000e-09,-1.000000000000e+00,-6.017292706778e-01
1.220000000000e-09,-1.000000000000e+00,-6.015992673509e-01
1.230000000000e-09,-1.000000000000e+00,-6.014612278861e-01
1.240000000000e-09,-1.000000000000e+00,-6.013166894076e-01
1.250000000000e-09,-1.000000000000e+00,-6.011675402738e-01
1.260000000000e-09,-1.000000000000e+00,-6.010159373751e-01
1.270000000000e-09,-1.000000000000e+00,-6.008642147724e-01
1.280000000000e-09,-1.000000000000e+00,-6.007147871112e-01
1.290000000000e-09,-1.000000000000e+00,-6.005700514739e-01
1.300000000000e-09,1.000000000000e+00,-5.824407983127e-01
1.310000000000e-09,1.000000000000e+00,-4.771979228304e-01
1.320000000000e-09,1.000000000000e+00,-3.735474246963e-01
1.330000000000e-09,1.000000000000e+00,-2.743510279991e-01
1.340000000000e-09,1.000000000000e+00,-1.823891318162e-01
1.350000000000e-09,1.000000000000e+00,-9.919744783755e-02
1.360000000000e-09,1.000000000000e+00,-2.488778603645e-02
1.370000000000e-09,1.000000000000e+00,4.145327523569e-02
1.380000000000e-09,1.000000000000e+00,1.011926328695e-01
1.390000000000e-09,1.000000000000e+00,1.556708195704e-01
1.400000000000e-09,1.000000000000e+00,2.059204847074e-01
1.410000000000e-09,1.000000000000e+00,2.525761141762e-01
1.420000000000e-09,1.000000000000e+00,2.959144552962e-01
1.430000000000e-09,1.000000000000e+00,3.359580629938e-01
1.440000000000e-09,1.000000000000e+00,3.725913818517e-01
1.450000000000e-09,1.000000000000e+00,4.056612245431e-01
1.460000000000e-09,1.000000000000e+00,4.350511060122e-01
1.470000000000e-09,1.000000000000e+00,4.607288212625e-01
1.480000000000e-09,1.000000000000e+00,4.827704765585e-01
1.490000000000e-09,1.000000000000e+00,5.013648163599e-01
1.500000000000e-09,-1.000000000000e+00,4.988100047548e-01
1.510000000000e-09,-1.000000000000e+00,4.063414365169e-01
1.520000000000e-09,-1.000000000000e+00,3.130749143879e-01
1.530000000000e-09,-1.000000000000e+00,2.222924366344e-01
1.540000000000e-09,-1.000000000000e+00,1.371722977540e-01
1.550000000000e-09,-1.000000000000e+00,5.959919911467e-02
1.560000000000e-09,-1.000000000000e+00,-1.003216273479e-02
1.570000000000e-09,-1.000000000000e+00,-7.242502669028e-02
1.580000000000e-09,-1.000000000000e+00,-1.288053268589e-01
1.590000000000e-09,-1.000000000000e+00,-1.804302794008e-01
1.600000000000e-09,1.000000000000e+00,-2.102986609918e-01
1.610000000000e-09,1.000000000000e+00,-1.498937872040e-01
1.620000000000e-09,1.000000000000e+00,-8.818171594061e-02
1.630000000000e-09,1.000000000000e+00,-2.802182344845e-02
1.640000000000e-09,1.000000000000e+00,2.796265975383e-02
1.650000000000e-09,1.000000000000e+00,7.845048602563e-02
1.660000000000e-09,1.000000000000e+00,1.235251501819e-01
1.670000000000e-09,1.000000000000e+00,1.642226194748e-01
1.680000000000e-09,1.000000000000e+00,2.019272089998e-01
1.690000000000e-09,1.000000000000e+00,2.378784605234e-01
1.700000000000e-09,1.000000000000e+00,2.728933113098e-01
1.710000000000e-09,1.000000000000e+00,3.072938521376e-01
1.720000000000e-09,1.000000000000e+00,3.409764705700e-01
1.730000000000e-09,1.000000000000e+00,3.735500493886e-01
1.740000000000e-09,1.000000000000e+00,4.044873483154e-01
1.750000000000e-09,1.000000000000e+00,4.332564488941e-01
1.760000000000e-09,1.000000000000e+00,4.594178759385e-01
1.770000000000e-09,1.000000000000e+00,4.826846324661e-01
1.780000000000e-09,1.000000000000e+00,5.029480782633e-01
1.790000000000e-09,1.000000000000e+00,5.202748914816e-01
1.800000000000e-09,-1.000000000000e+00,5.168898800212e-01
1.810000000000e-09,-1.000000000000e+00,4.239864355139e-01
1.820000000000e-09,-1.000000000000e+00,3.306521893826e-01
1.830000000000e-09,-1.000000000000e+00,2.401398384634e-01
1.840000000000e-09,-1.000000000000e+00,1.555867260122e-01
1.850000000000e-09,-1.000000000000e+00,7.881976384262e-02
1.860000000000e-09,-1.000000000000e+00,1.015908252265e-02
1.870000000000e-09,-1.000000000000e+00,-5.118547015009e-02
1.880000000000e-09,-1.000000000000e+00,-1.065317168580e-01
1.890000000000e-09,-1.000000000000e+00,-1.572250871585e-01
1.900000000000e-09,-1.000000000000e+00,-2.043320758341e-01
1.910000000000e-09,-1.000000000000e+00,-2.485247737686e-01
1.920000000000e-09,-1.000000000000e+00,-2.900998990293e-01
1.930000000000e-09,-1.000000000000e+00,-3.290675238966e-01
1.940000000000e-09,-1.000000000000e+00,-3.652602638429e-01
1.950000000000e-09,-1.000000000000e+00,-3.984347263820e-01
1.960000000000e-09,-1.000000000000e+00,-4.283534305133e-01
1.970000000000e-09,-1.000000000000e+00,-4.548445213503e-01
1.980000000000e-09,-1.000000000000e+00,-4.778400469445e-01
1.990000000000e-09,-1.000000000000e+00,-4.973942405618e-01
2.000000000000e-09,-1.000000000000e+00,-5.136834551896e-01
2.010000000000e-09,-1.000000000000e+00,-5.269901633128e-01
2.020000000000e-09,-1.000000000000e+00,-5.376747364863e-01
2.030000000000e-09,-1.000000000000e+00,-5.461399992266e-01
2.040000000000e-09,-1.000000000000e+00,-5.527942255538e-01
